student	Total Score
Neil Armstrong	192.30714285714282
Bill Gates	188.31428571428572
Sundar Pichai	182.85000000000002
Jack Ma	177.8285714285714
Isaac newton	175.1285714285714
Johnney Depp	170.1714285714286
Warren Buffet	164.95000000000002
Elon Musk	164.06428571428572
Robert Downey	159.84285714285716
Michael Jordan	155.75
Jeff Bezos	155.3714285714286
Tim Cook	154.25714285714284
Will Smith	149.21428571428572
Lionel Messi	144.0142857142857
Cristiaono Ronaldo	138.35714285714283
Mark Zuckerberg	129.7714285714286
